corruption,severity,alpha,delta,coverage_standard,coverage_gap_standard,avg_set_size_standard,gate_trigger_rate,gate_threshold,energy_mean,energy_std,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,ess_ratio,max_weight,mean_weight,std_weight,safe_to_weight,mode
gaussian_noise,3,0.05,0.05,0.6051,-0.3449,2.1342,0.2281,-5.355030059814453,-6.969857215881348,2.122551441192627,0.6072,-0.3428,2.1408,0.6059,-0.34409999999999996,2.1301,0.03668890692344794,39.491780857319185,1.0,5.124079913573471,0,ess_and_max_weight
gaussian_noise,3,0.05,0.1,0.6051,-0.3449,2.1342,0.4474,-6.272093772888184,-6.969857215881348,2.122551441192627,0.6072,-0.3428,2.1408,0.6059,-0.34409999999999996,2.1301,0.03668890692344794,39.491780857319185,1.0,5.124079913573471,0,ess_and_max_weight
gaussian_noise,4,0.1,0.05,0.4503,-0.44970000000000004,1.681,0.1982,-5.355030059814453,-7.036097049713135,2.0421009063720703,0.4197,-0.4803,1.5306,0.4492,-0.45080000000000003,1.6821,0.027204192237627815,54.644566441424836,1.0,5.979886315341479,0,ess_and_max_weight
gaussian_noise,4,0.1,0.1,0.4503,-0.44970000000000004,1.681,0.4173,-6.272093772888184,-7.036097049713135,2.0421009063720703,0.4197,-0.4803,1.5306,0.4492,-0.45080000000000003,1.6821,0.027204192237627815,54.644566441424836,1.0,5.979886315341479,0,ess_and_max_weight
gaussian_noise,4,0.05,0.05,0.5318,-0.4181999999999999,2.0992,0.1982,-5.355030059814453,-7.036097049713135,2.0421009063720703,0.5329,-0.4170999999999999,2.1171,0.5289,-0.4210999999999999,2.0973,0.027204192237627815,54.644566441424836,1.0,5.979886315341479,0,ess_and_max_weight
gaussian_noise,4,0.05,0.1,0.5318,-0.4181999999999999,2.0992,0.4173,-6.272093772888184,-7.036097049713135,2.0421009063720703,0.5329,-0.4170999999999999,2.1171,0.5289,-0.4210999999999999,2.0973,0.027204192237627815,54.644566441424836,1.0,5.979886315341479,0,ess_and_max_weight
gaussian_noise,5,0.1,0.05,0.3878,-0.5122,1.6414,0.1769,-5.355030059814453,-7.151365756988525,1.9939371347427368,0.3619,-0.5381,1.5012,0.3904,-0.5096,1.6363,0.021701823766533717,71.19464142411027,1.0,6.714095368247665,0,ess_and_max_weight
gaussian_noise,5,0.1,0.1,0.3878,-0.5122,1.6414,0.3789,-6.272093772888184,-7.151365756988525,1.9939371347427368,0.3619,-0.5381,1.5012,0.3904,-0.5096,1.6363,0.021701823766533717,71.19464142411027,1.0,6.714095368247665,0,ess_and_max_weight
gaussian_noise,5,0.05,0.05,0.4618,-0.48819999999999997,2.0564,0.1769,-5.355030059814453,-7.151365756988525,1.9939371347427368,0.469,-0.481,2.0919,0.462,-0.48799999999999993,2.049,0.021701823766533717,71.19464142411027,1.0,6.714095368247665,0,ess_and_max_weight
gaussian_noise,5,0.05,0.1,0.4618,-0.48819999999999997,2.0564,0.3789,-6.272093772888184,-7.151365756988525,1.9939371347427368,0.469,-0.481,2.0919,0.462,-0.48799999999999993,2.049,0.021701823766533717,71.19464142411027,1.0,6.714095368247665,0,ess_and_max_weight
motion_blur,1,0.1,0.05,0.861,-0.039000000000000035,1.2719,0.0919,-5.355030059814453,-8.98967170715332,2.754328727722168,0.8734,-0.026600000000000068,1.3097,0.8735,-0.026499999999999968,1.3112,0.31863743164548375,6.166130374979873,1.0,1.4623143412345665,1,weighted
motion_blur,1,0.1,0.1,0.861,-0.039000000000000035,1.2719,0.1787,-6.272093772888184,-8.98967170715332,2.754328727722168,0.8734,-0.026600000000000068,1.3097,0.8735,-0.026499999999999968,1.3112,0.31863743164548375,6.166130374979873,1.0,1.4623143412345665,1,weighted
motion_blur,1,0.05,0.05,0.9202,-0.029799999999999938,1.5117,0.0919,-5.355030059814453,-8.98967170715332,2.754328727722168,0.9275,-0.022499999999999964,1.5593,0.9276,-0.022399999999999975,1.5539,0.31863743164548375,6.166130374979873,1.0,1.4623143412345665,1,weighted
motion_blur,1,0.05,0.1,0.9202,-0.029799999999999938,1.5117,0.1787,-6.272093772888184,-8.98967170715332,2.754328727722168,0.9275,-0.022499999999999964,1.5593,0.9276,-0.022399999999999975,1.5539,0.31863743164548375,6.166130374979873,1.0,1.4623143412345665,1,weighted
motion_blur,2,0.1,0.05,0.8027,-0.09730000000000005,1.4459,0.1432,-5.355030059814453,-8.066070556640625,2.5363657474517822,0.8339,-0.06610000000000005,1.5696,0.8003,-0.09970000000000001,1.4405,0.17440120290780853,9.97178861773962,1.0000000000000002,2.175753985414769,0,ess
motion_blur,2,0.1,0.1,0.8027,-0.09730000000000005,1.4459,0.2652,-6.272093772888184,-8.066070556640625,2.5363657474517822,0.8339,-0.06610000000000005,1.5696,0.8003,-0.09970000000000001,1.4405,0.17440120290780853,9.97178861773962,1.0000000000000002,2.175753985414769,0,ess
motion_blur,2,0.05,0.05,0.8674,-0.0826,1.7567,0.1432,-5.355030059814453,-8.066070556640625,2.5363657474517822,0.8812,-0.06879999999999997,1.8548,0.8643,-0.0857,1.7528,0.17440120290780853,9.97178861773962,1.0000000000000002,2.175753985414769,0,ess
motion_blur,2,0.05,0.1,0.8674,-0.0826,1.7567,0.2652,-6.272093772888184,-8.066070556640625,2.5363657474517822,0.8812,-0.06879999999999997,1.8548,0.8643,-0.0857,1.7528,0.17440120290780853,9.97178861773962,1.0000000000000002,2.175753985414769,0,ess
motion_blur,3,0.1,0.05,0.7322,-0.16780000000000006,1.5859,0.1922,-5.355030059814453,-7.416806221008301,2.2955541610717773,0.7693,-0.13070000000000004,1.7647,0.7334,-0.16659999999999997,1.5899,0.10709136981833571,15.376690051673211,1.0,2.887528460073233,0,ess_and_max_weight
motion_blur,3,0.1,0.1,0.7322,-0.16780000000000006,1.5859,0.3486,-6.272093772888184,-7.416806221008301,2.2955541610717773,0.7693,-0.13070000000000004,1.7647,0.7334,-0.16659999999999997,1.5899,0.10709136981833571,15.376690051673211,1.0,2.887528460073233,0,ess_and_max_weight
motion_blur,3,0.05,0.05,0.802,-0.1479999999999999,1.9631,0.1922,-5.355030059814453,-7.416806221008301,2.2955541610717773,0.8115,-0.13849999999999996,2.0255,0.8007,-0.1493,1.9617,0.10709136981833571,15.376690051673211,1.0,2.887528460073233,0,ess_and_max_weight
motion_blur,3,0.05,0.1,0.802,-0.1479999999999999,1.9631,0.3486,-6.272093772888184,-7.416806221008301,2.2955541610717773,0.8115,-0.13849999999999996,2.0255,0.8007,-0.1493,1.9617,0.10709136981833571,15.376690051673211,1.0,2.887528460073233,0,ess_and_max_weight
motion_blur,4,0.1,0.05,0.7362,-0.16380000000000006,1.5914,0.1931,-5.355030059814453,-7.413917064666748,2.296421766281128,0.7674,-0.13260000000000005,1.7415,0.7336,-0.1664,1.5875,0.10512451817311869,15.480815999051059,1.0,2.917623816771238,0,ess_and_max_weight
motion_blur,4,0.1,0.1,0.7362,-0.16380000000000006,1.5914,0.3451,-6.272093772888184,-7.413917064666748,2.296421766281128,0.7674,-0.13260000000000005,1.7415,0.7336,-0.1664,1.5875,0.10512451817311869,15.480815999051059,1.0,2.917623816771238,0,ess_and_max_weight
motion_blur,4,0.05,0.05,0.808,-0.1419999999999999,1.9651,0.1931,-5.355030059814453,-7.413917064666748,2.296421766281128,0.8139,-0.1361,2.0281,0.8061,-0.14389999999999992,1.9689,0.10512451817311869,15.480815999051059,1.0,2.917623816771238,0,ess_and_max_weight
motion_blur,4,0.05,0.1,0.808,-0.1419999999999999,1.9651,0.3451,-6.272093772888184,-7.413917064666748,2.296421766281128,0.8139,-0.1361,2.0281,0.8061,-0.14389999999999992,1.9689,0.10512451817311869,15.480815999051059,1.0,2.917623816771238,0,ess_and_max_weight
motion_blur,5,0.1,0.05,0.6711,-0.2289,1.6947,0.2287,-5.355030059814453,-7.0080742835998535,2.083360433578491,0.704,-0.19600000000000006,1.8882,0.667,-0.23299999999999998,1.6832,0.06772846584300765,23.94151842386242,1.0,3.7100998054920153,0,ess_and_max_weight
motion_blur,5,0.1,0.1,0.6711,-0.2289,1.6947,0.4081,-6.272093772888184,-7.0080742835998535,2.083360433578491,0.704,-0.19600000000000006,1.8882,0.667,-0.23299999999999998,1.6832,0.06772846584300765,23.94151842386242,1.0,3.7100998054920153,0,ess_and_max_weight
motion_blur,5,0.05,0.05,0.7445,-0.2054999999999999,2.1128,0.2287,-5.355030059814453,-7.0080742835998535,2.083360433578491,0.7698,-0.18019999999999992,2.2858,0.7453,-0.2047,2.1058,0.06772846584300765,23.94151842386242,1.0,3.7100998054920153,0,ess_and_max_weight
motion_blur,5,0.05,0.1,0.7445,-0.2054999999999999,2.1128,0.4081,-6.272093772888184,-7.0080742835998535,2.083360433578491,0.7698,-0.18019999999999992,2.2858,0.7453,-0.2047,2.1058,0.06772846584300765,23.94151842386242,1.0,3.7100998054920153,0,ess_and_max_weight
brightness,1,0.1,0.05,0.896,-0.0040000000000000036,1.1199,0.0545,-5.355030059814453,-10.200119972229004,2.9582841396331787,0.8903,-0.009700000000000042,1.1104,0.8923,-0.00770000000000004,1.1108,0.907999429068094,3.0452107597750464,1.0,0.31831160580805234,1,weighted
brightness,1,0.1,0.1,0.896,-0.0040000000000000036,1.1199,0.1069,-6.272093772888184,-10.200119972229004,2.9582841396331787,0.8903,-0.009700000000000042,1.1104,0.8923,-0.00770000000000004,1.1108,0.907999429068094,3.0452107597750464,1.0,0.31831160580805234,1,weighted
brightness,1,0.05,0.05,0.9483,-0.0016999999999999238,1.281,0.0545,-5.355030059814453,-10.200119972229004,2.9582841396331787,0.9435,-0.00649999999999995,1.2678,0.943,-0.007000000000000006,1.2616,0.907999429068094,3.0452107597750464,1.0,0.31831160580805234,1,weighted
brightness,1,0.05,0.1,0.9483,-0.0016999999999999238,1.281,0.1069,-6.272093772888184,-10.200119972229004,2.9582841396331787,0.9435,-0.00649999999999995,1.2678,0.943,-0.007000000000000006,1.2616,0.907999429068094,3.0452107597750464,1.0,0.31831160580805234,1,weighted
brightness,2,0.1,0.05,0.8936,-0.006400000000000072,1.1298,0.0574,-5.355030059814453,-10.116365432739258,2.9600489139556885,0.8871,-0.012900000000000023,1.1178,0.8856,-0.014399999999999968,1.1148,0.7405393957683284,4.9235105777204895,1.0,0.5919181117202327,1,weighted
brightness,2,0.1,0.1,0.8936,-0.006400000000000072,1.1298,0.1113,-6.272093772888184,-10.116365432739258,2.9600489139556885,0.8871,-0.012900000000000023,1.1178,0.8856,-0.014399999999999968,1.1148,0.7405393957683284,4.9235105777204895,1.0,0.5919181117202327,1,weighted
brightness,2,0.05,0.05,0.9477,-0.0022999999999999687,1.2985,0.0574,-5.355030059814453,-10.116365432739258,2.9600489139556885,0.9422,-0.007799999999999918,1.2717,0.9373,-0.012699999999999934,1.2649,0.7405393957683284,4.9235105777204895,1.0,0.5919181117202327,1,weighted
brightness,2,0.05,0.1,0.9477,-0.0022999999999999687,1.2985,0.1113,-6.272093772888184,-10.116365432739258,2.9600489139556885,0.9422,-0.007799999999999918,1.2717,0.9373,-0.012699999999999934,1.2649,0.7405393957683284,4.9235105777204895,1.0,0.5919181117202327,1,weighted
brightness,3,0.1,0.05,0.8921,-0.007900000000000018,1.1533,0.0615,-5.355030059814453,-9.958187103271484,2.9497292041778564,0.8868,-0.01319999999999999,1.1341,0.8852,-0.014800000000000035,1.1325,0.562801887179902,4.966182575195413,1.0,0.8813762970466135,1,weighted
brightness,3,0.1,0.1,0.8921,-0.007900000000000018,1.1533,0.1221,-6.272093772888184,-9.958187103271484,2.9497292041778564,0.8868,-0.01319999999999999,1.1341,0.8852,-0.014800000000000035,1.1325,0.562801887179902,4.966182575195413,1.0,0.8813762970466135,1,weighted
brightness,3,0.05,0.05,0.9456,-0.0043999999999999595,1.3231,0.0615,-5.355030059814453,-9.958187103271484,2.9497292041778564,0.9395,-0.010499999999999954,1.293,0.936,-0.013999999999999901,1.2911,0.562801887179902,4.966182575195413,1.0,0.8813762970466135,1,weighted
brightness,3,0.05,0.1,0.9456,-0.0043999999999999595,1.3231,0.1221,-6.272093772888184,-9.958187103271484,2.9497292041778564,0.9395,-0.010499999999999954,1.293,0.936,-0.013999999999999901,1.2911,0.562801887179902,4.966182575195413,1.0,0.8813762970466135,1,weighted
brightness,4,0.1,0.05,0.8888,-0.011199999999999988,1.166,0.0679,-5.355030059814453,-9.746201515197754,2.918297290802002,0.8848,-0.015199999999999991,1.154,0.8807,-0.019299999999999984,1.1517,0.4603343673571287,5.235411828248055,1.0,1.0827437394233994,1,weighted
brightness,4,0.1,0.1,0.8888,-0.011199999999999988,1.166,0.1339,-6.272093772888184,-9.746201515197754,2.918297290802002,0.8848,-0.015199999999999991,1.154,0.8807,-0.019299999999999984,1.1517,0.4603343673571287,5.235411828248055,1.0,1.0827437394233994,1,weighted
