method,corruption,severity,alpha,target_coverage,qhat_standard,qhat_weighted,qhat_final,coverage_standard,coverage_gap_standard,avg_set_size_standard,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,safe_to_weight,fallback_reason,ess,ess_ratio,min_weight,max_weight,mean_weight,std_weight,domain_prob_mean,domain_prob_std
WCP-RAPS-stabilized,gaussian_noise,1,0.1,0.9,0.9214879870414734,0.9133374691009521,0.9214879870414734,0.8165,-0.08350000000000002,1.4407,0.8086,-0.09140000000000004,1.4083,0.8148,-0.08520000000000005,1.4365,0,ess,757.2726340088188,0.15145452680176377,0.00021490470483543394,10.74416071824752,0.9999999999999998,2.3669900442520326,0.1631718424574699,0.24474417285680103
WCP-RAPS-stabilized,gaussian_noise,1,0.05,0.95,0.9687336683273315,0.9652944803237915,0.9687336683273315,0.879,-0.07099999999999995,1.7516,0.8761,-0.07389999999999997,1.7132,0.8782,-0.07179999999999997,1.7477,0,ess,757.2726340088188,0.15145452680176377,0.00021490470483543394,10.74416071824752,0.9999999999999998,2.3669900442520326,0.1631718424574699,0.24474417285680103
WCP-RAPS-stabilized,gaussian_noise,2,0.1,0.9,0.9214879870414734,0.9002548456192017,0.9214879870414734,0.6873,-0.2127,1.6408,0.6583,-0.24170000000000003,1.5306,0.6811,-0.21889999999999998,1.6359,0,ess_and_max_weight,349.33885080590954,0.06986777016118191,0.00042762430070968695,21.379076913980796,1.0,3.648664281551719,0.07857422752852587,0.18983949811998824
WCP-RAPS-stabilized,gaussian_noise,2,0.05,0.95,0.9687336683273315,0.9690024852752686,0.9687336683273315,0.7611,-0.18889999999999996,2.0399,0.7614,-0.1886,2.0418,0.7604,-0.1896,2.039,0,ess_and_max_weight,349.33885080590954,0.06986777016118191,0.00042762430070968695,21.379076913980796,1.0,3.648664281551719,0.07857422752852587,0.18983949811998824
WCP-RAPS-stabilized,gaussian_noise,3,0.1,0.9,0.9214879870414734,0.8901853561401367,0.9214879870414734,0.5288,-0.3712,1.7066,0.494,-0.406,1.5493,0.5278,-0.3722,1.7083,0,ess_and_max_weight,183.44453461723973,0.03668890692344794,0.0007899146086072445,39.491780857319185,1.0,5.124079913573471,0.04107716152477136,0.1440315697869957
WCP-RAPS-stabilized,gaussian_noise,3,0.05,0.95,0.9687336683273315,0.9690024852752686,0.9687336683273315,0.6073,-0.3427,2.1311,0.6072,-0.3428,2.1408,0.6059,-0.34409999999999996,2.1301,0,ess_and_max_weight,183.44453461723973,0.03668890692344794,0.0007899146086072445,39.491780857319185,1.0,5.124079913573471,0.04107716152477136,0.1440315697869957
WCP-RAPS-stabilized,gaussian_noise,4,0.1,0.9,0.9214879870414734,0.8916139602661133,0.9214879870414734,0.4523,-0.44770000000000004,1.6813,0.4197,-0.4803,1.5306,0.4492,-0.45080000000000003,1.6821,0,ess_and_max_weight,136.02096118813907,0.027204192237627815,0.001093000628891386,54.644566441424836,1.0,5.979886315341479,0.030274371473665185,0.12462737340301845
WCP-RAPS-stabilized,gaussian_noise,4,0.05,0.95,0.9687336683273315,0.9697858691215515,0.9687336683273315,0.5301,-0.41989999999999994,2.1061,0.5329,-0.4170999999999999,2.1171,0.5289,-0.4210999999999999,2.0973,0,ess_and_max_weight,136.02096118813907,0.027204192237627815,0.001093000628891386,54.644566441424836,1.0,5.979886315341479,0.030274371473665185,0.12462737340301845
WCP-RAPS-stabilized,gaussian_noise,5,0.1,0.9,0.9214879870414734,0.8940352201461792,0.9214879870414734,0.3897,-0.5103,1.6386,0.3619,-0.5381,1.5012,0.3904,-0.5096,1.6363,0,ess_and_max_weight,108.50911883266858,0.021701823766533717,0.0014240352320054061,71.19464142411027,1.0,6.714095368247665,0.0240287379542184,0.11034559501227927
WCP-RAPS-stabilized,gaussian_noise,5,0.05,0.95,0.9687336683273315,0.9720050096511841,0.9687336683273315,0.4621,-0.48789999999999994,2.0461,0.469,-0.481,2.0919,0.462,-0.48799999999999993,2.049,0,ess_and_max_weight,108.50911883266858,0.021701823766533717,0.0014240352320054061,71.19464142411027,1.0,6.714095368247665,0.0240287379542184,0.11034559501227927
