method,corruption,severity,alpha,target_coverage,qhat_standard,qhat_weighted,qhat_final,coverage_standard,coverage_gap_standard,avg_set_size_standard,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,safe_to_weight,fallback_reason,ess,ess_ratio,max_weight,mean_weight,std_weight,domain_prob_mean,domain_prob_std
WCP-RAPS,motion_blur,1,0.1,0.9,0.9214879870414734,0.9564070105552673,0.9214879870414734,0.8664,-0.033600000000000074,1.2729,0.9021,0.0020999999999999908,1.4233,0.8622,-0.037800000000000056,1.2744,0,ess_and_max_weight,468.0796211413205,0.0936159242282641,18.194868649085507,1.0,3.1115821309841185,0.20352660558331587,0.27081427496421845
WCP-RAPS,motion_blur,1,0.05,0.95,0.9687336683273315,0.9875548481941223,0.9687336683273315,0.9232,-0.026799999999999935,1.5083,0.9483,-0.0016999999999999238,1.716,0.918,-0.03199999999999992,1.5025,0,ess_and_max_weight,468.0796211413205,0.0936159242282641,18.194868649085507,1.0,3.1115821309841185,0.20352660558331587,0.27081427496421845
WCP-RAPS,motion_blur,2,0.1,0.9,0.9214879870414734,0.9540295004844666,0.9214879870414734,0.8065,-0.09350000000000003,1.4473,0.8479,-0.052100000000000035,1.6364,0.8003,-0.09970000000000001,1.4405,0,ess_and_max_weight,245.15848251739425,0.04903169650347885,31.330843560385215,1.0,4.4039721188319785,0.10345808131792435,0.22075302958713214
WCP-RAPS,motion_blur,2,0.05,0.95,0.9687336683273315,0.9875548481941223,0.9687336683273315,0.8715,-0.0784999999999999,1.763,0.9002,-0.049799999999999955,2.0292,0.8643,-0.0857,1.7528,0,ess_and_max_weight,245.15848251739425,0.04903169650347885,31.330843560385215,1.0,4.4039721188319785,0.10345808131792435,0.22075302958713214
WCP-RAPS,motion_blur,3,0.1,0.9,0.9214879870414734,0.9562619924545288,0.9214879870414734,0.7318,-0.16820000000000002,1.5876,0.7816,-0.11840000000000006,1.8365,0.7334,-0.16659999999999997,1.5899,0,ess_and_max_weight,160.0153099238338,0.03200306198476676,44.803152789012564,1.0,5.499728181155778,0.06389010494454864,0.1842702609099459
WCP-RAPS,motion_blur,3,0.05,0.95,0.9687336683273315,0.9906806945800781,0.9687336683273315,0.7999,-0.1500999999999999,1.9629,0.8491,-0.10089999999999999,2.3666,0.8007,-0.1493,1.9617,0,ess_and_max_weight,160.0153099238338,0.03200306198476676,44.803152789012564,1.0,5.499728181155778,0.06389010494454864,0.1842702609099459
WCP-RAPS,motion_blur,4,0.1,0.9,0.9214879870414734,0.9562619924545288,0.9214879870414734,0.7348,-0.1652,1.5873,0.7848,-0.11519999999999997,1.8406,0.7336,-0.1664,1.5875,0,ess_and_max_weight,132.23622190016212,0.026447244380032424,54.45328033484844,1.0,6.067217040117246,0.05769355016145885,0.17111836624334703
WCP-RAPS,motion_blur,4,0.05,0.95,0.9687336683273315,0.9956186413764954,0.9687336683273315,0.8051,-0.14489999999999992,1.9642,0.8714,-0.0786,2.5405,0.8061,-0.14389999999999992,1.9689,0,ess_and_max_weight,132.23622190016212,0.026447244380032424,54.45328033484844,1.0,6.067217040117246,0.05769355016145885,0.17111836624334703
WCP-RAPS,motion_blur,5,0.1,0.9,0.9214879870414734,0.9562619924545288,0.9214879870414734,0.6633,-0.23670000000000002,1.6887,0.7183,-0.18169999999999997,1.9594,0.667,-0.23299999999999998,1.6832,0,ess_and_max_weight,84.95622950523189,0.01699124590104638,84.97219268096978,1.0,7.606170916952894,0.03639289046105562,0.13961066495495417
WCP-RAPS,motion_blur,5,0.05,0.95,0.9687336683273315,0.9956186413764954,0.9687336683273315,0.7412,-0.20879999999999999,2.102,0.8161,-0.1338999999999999,2.7219,0.7453,-0.2047,2.1058,0,ess_and_max_weight,84.95622950523189,0.01699124590104638,84.97219268096978,1.0,7.606170916952894,0.03639289046105562,0.13961066495495417
WCP-RAPS,brightness,1,0.1,0.9,0.9214879870414734,0.9185692667961121,0.9214879870414734,0.8975,-0.0025000000000000577,1.1211,0.8904,-0.009600000000000053,1.1106,0.896,-0.0040000000000000036,1.118,0,max_weight,2582.3827877351814,0.5164765575470363,14.046653445902573,1.0,0.9675723747947879,0.4858289262440283,0.17859703044423295
WCP-RAPS,brightness,1,0.05,0.95,0.9687336683273315,0.9638243317604065,0.9687336683273315,0.9505,0.000500000000000056,1.2869,0.9408,-0.009199999999999986,1.2577,0.9472,-0.0027999999999999137,1.2804,0,max_weight,2582.3827877351814,0.5164765575470363,14.046653445902573,1.0,0.9675723747947879,0.4858289262440283,0.17859703044423295
WCP-RAPS,brightness,2,0.1,0.9,0.9214879870414734,0.9114782214164734,0.9214879870414734,0.8966,-0.0034000000000000696,1.1347,0.8827,-0.017299999999999982,1.1094,0.8921,-0.007900000000000018,1.13,0,max_weight,1510.9623092283105,0.3021924618456621,15.120094878768276,1.0,1.519588558597888,0.4266482402882519,0.22672258770255355
